Website Domain,Ticker,Technology Name,Technology ID,First Seen At,Last Seen At,Behind Firewall,First_Year,First_Month,Last_Year,Last_Month
sony.com,NYSE:SNE,Solidity,32d8620f-3404-451f-8897-dec054da4d64,2024-07-15 00:33:28+00:00,2024-07-15 00:33:28+00:00,True,2024,7,2024,7
grab.com,Unknown,Salesforce Marketing Cloud Account Engagement,26a1a802-94cf-573a-9fe4-6438dd782daa,2024-09-05 08:35:44+00:00,2024-09-05 08:35:44+00:00,False,2024,9,2024,9
infosys.com,NYSE:INFY,Spring Boot,92bed5c9-d378-4390-9a88-7a05731812ed,2024-08-21 18:22:02+00:00,2024-09-05 19:18:59+00:00,True,2024,8,2024,9
sony.com,NYSE:SNE,AWS Database Migration Service,8f98e534-a027-4588-8bb6-7234497b8e3d,2024-08-27 17:02:15+00:00,2024-08-27 17:02:15+00:00,True,2024,8,2024,8
wipro.com,NYSE:WIT,Marketo Forms,98c13648-cda5-5f84-a822-9b403d7db477,2024-07-04 09:29:44+00:00,2024-08-30 10:45:20+00:00,False,2024,7,2024,8
samsung.com,NASDAQOTH:SSNLF,web-vitals,9ba69c96-34ac-5cd4-a1b8-8e9d7a44f871,2024-06-07 09:37:14+00:00,2024-08-07 09:45:48+00:00,False,2024,6,2024,8
grab.com,Unknown,Google Sheets,2fc3554e-2ba0-4333-a346-b44e9666f7a1,2024-08-21 12:54:18+00:00,2024-09-05 15:06:11+00:00,True,2024,8,2024,9
rakuten.com,Unknown,ABAP,491dcf9a-c5e2-5bf7-9b33-4c8eeea1b3b7,2024-06-16 09:45:52+00:00,2024-06-16 09:45:52+00:00,True,2024,6,2024,6
samsung.com,NASDAQOTH:SSNLF,OWASP,d8055693-9ecd-5efc-8e16-d120c09d776a,2024-08-15 01:06:10+00:00,2024-08-15 01:06:29+00:00,True,2024,8,2024,8
rakuten.com,Unknown,Google Sheets,2fc3554e-2ba0-4333-a346-b44e9666f7a1,2024-08-25 11:03:33+00:00,2024-08-25 11:03:33+00:00,True,2024,8,2024,8
lg.com,Unknown,HubSpot,d5f29228-4009-56ee-ba63-c14d59112b6b,2024-07-23 22:04:56+00:00,2024-07-23 22:04:56+00:00,True,2024,7,2024,7
samsung.com,NASDAQOTH:SSNLF,UserWay,859fd11f-81f5-50b3-842b-5dabf14d1649,2024-09-02 09:31:36+00:00,2024-09-02 09:51:13+00:00,False,2024,9,2024,9
sony.com,NYSE:SNE,Snort,204fbdf9-9256-4e3a-ab8f-66522e806581,2024-09-05 15:21:36+00:00,2024-09-05 15:21:36+00:00,True,2024,9,2024,9
